latitude,longitude,name
55.6728806,37.6646143,Пена
55.7944316,37.705914,Лок Сток
55.7586965,37.6389337,Лара Крафт
55.6729967,37.6646315,Шпилька
55.8879472,37.5895725,Сварня
55.7110659,37.6186756,Beerness
55.7684351,37.6322549,"Пивница ""Чертовка"""
55.7964166,37.8005949,Панчо и Санчо
55.7756802,37.5845379,Craft Point
55.7296309,37.6328905,"Oh, My Craft!"
55.7624262,37.6078318,Howard Loves Craft
55.7509521,38.0216299,Бир бар
55.742124,37.6552813,Варка
55.7583364,37.6398196,Золотая Вобла
55.7435701,38.0145017,
55.6512141,37.7444261,Кружка
55.8688272,37.6629616,Подвальчик
55.840062,37.48869,Cuba
55.7619975,37.6260861,Mandy’s Apothecary Irish Pub
55.7626139,37.6063432,Craft Republic
55.6595234,37.7523825,Кружка
55.762534,37.6065381,Chelsea
55.7355269,37.5834614,Хмельной Лев
55.7589743,37.5798002,БарКрафт
55.7805185,37.6017759,The Tipsy Pub
55.7626781,37.6067977,Все твои друзья
55.773109,37.6326163,SПБ
55.7495326,37.7170052,Нора
55.7592693,37.5800979,Кружка
55.7973508,37.7995727,Black Cat Pub
55.7745593,37.5816381,Вad.Вro.Вar
55.8267622,37.436009,Beer & Beard
55.7733469,37.6326226,Пилигрим
55.7489765,38.0272748,Горпивторг
55.781855,37.6009024,Биртайм
55.7740963,37.6319891,Rosie O'Grady's
55.6817091,37.8964192,
55.7818455,37.6013469,SПБ
55.7825557,37.7173398,Рыжий лис
55.7586619,37.6402184,Бонни & Клайд
55.7826126,37.7173033,SПБ
55.6790516,37.5725096,Бразен
55.7700151,37.6789812,Брюгге
55.7770972,37.5851811,БИРкрафт
55.777158,37.5852015,Paddy's Irish Pub & Eatery
55.7638506,37.6156119,Originals
55.8556158,37.4762569,Кружка
55.7819087,37.5815353,Прогноз погоды
55.744361,38.0204036,Живое пиво
55.2695308,37.8935761,
55.7540579,37.8003322,Три перца
55.891599,37.6226614,Заря
55.7555895,37.6650128,Kraftwerk
55.6864974,37.5470291,Линдерхоф
55.8939675,37.4510173,Спорт бар
55.8647502,37.6612355,Империал
55.7288978,37.6175784,Молли Гвинн'з
55.7412551,37.6267881,Underdog
55.752623,37.6679617,Edward's Pub
55.8447635,37.3504301,Bastards
55.8341266,37.2386633,House Cafe
56.0023991,37.2101872,Кружка
55.7565047,37.6271495,The Oldschool pub
55.7567831,37.6268855,Pivbar
55.7715283,37.6815004,Пьяный Дятел
55.70882,37.4057694,Гертруда
55.767205,37.606172,The Cross Keys
55.7699299,37.6324843,Beer Happens
55.7715631,37.682143,Кружка
55.7720382,37.6823967,О'Хара
55.7580391,37.6274144,Легенды
55.9952194,37.2073669,ГутенТаг
55.7715898,37.6826651,Пару баб
55.8190063,37.5049757,Кружка
55.8698139,37.6764585,Старая карта
55.7877594,37.5936632,Beer & Go
55.8696788,37.6770095,Тройка
55.7720806,37.623077,БирХаус
55.7708102,37.6251978,Герои
55.7504335,37.5822463,Проточный
55.8661384,37.4930729,Пенное & Колбаса
55.7476626,38.0117777,Трактир
55.9726551,37.9385493,
55.823677,37.6348558,Вилладж-Паб
55.7969048,37.4920204,
55.7408094,37.6090495,Ваня нальёт
55.9047232,37.7256682,Пивариум
55.7591939,37.6248371,Jawsspot
55.2497253,37.4950245,
55.7529029,37.5863989,Молли Гвинн'з
55.7859636,37.5954315,Мосдонер
55.7934908,37.8039821,Бочка
55.8010669,37.636731,Beef time
55.7653128,37.6309216,Лига Пап
55.8992322,37.5859204,"Разливное пиво ""Лит.Ра"""
55.7654056,37.6310027,Чагин
55.6625747,37.7601278,Ёрш
56.0061743,37.2063279,
55.7422148,37.6556872,Лондон Гриль
55.7038616,37.7731786,Тренчин
55.7287292,37.623619,Кружка
55.760825,37.6238208,Капитал
55.7750148,37.4834689,Пив&Бург
55.7429453,37.6275886,Блэк Харп
55.7559618,37.5614842,Blacksmith
56.0085425,37.8521314,Пивасъ
55.7436282,37.6302444,Гроссбир
55.7782233,37.5843734,Blacksmith
55.8216899,37.6604746,Ёрш
55.8864751,37.6594404,Bar Bear
55.7044532,37.6536807,1875
55.7776614,37.4586421,Dead Rabbit
55.8092044,37.3262751,Все свои
55.5957557,37.6062417,ШтирБирЛиц
55.8859347,37.6845411,Шаровня
55.7773068,37.6339372,Katie O'Shea's Irish Bar & Restaurant
55.897567,37.6049697,Дом пива
55.7572779,37.6324882,Los Bandidos
55.8156723,37.6394595,Бирхаус
55.7667471,37.634181,I like craft
55.7933445,37.8417485,Пехорка
55.8044972,37.6379392,Beerлога
55.7301044,37.6253136,Pitcher
55.7651713,37.5906122,Craft Noir
55.9091691,37.866109,Кружка
55.9399479,37.496348,Лит-ра
55.7387163,37.653034,Чак Норрис
55.6930166,37.5302973,Братья Крафт
55.7445693,37.6273469,Punch & Judy
55.7573861,37.6335796,Борода
55.7780901,37.4615927,Johny Josper
55.7741378,37.6183783,Little Craft Bar
55.790521,37.677575,Rainbow Pub
55.866905,37.6825864,Погребок
55.8634546,37.6028336,Сварня
55.7596663,37.6453292,Сосна и Липа
55.7675763,37.6351529,Bobby Dazzler
55.7262734,37.4171008,
55.7790422,37.5851661,OneMore Pub
55.7399994,37.6638934,Колбасофф
55.63945,37.6064,Кружка
55.8028512,37.5253347,Черчилль
55.7745915,37.6423753,На брудершафт
55.8797256,37.5935591,Жигулевское
55.7625156,37.634405,Mollie's Pub
55.7631704,37.5551763,RightHops
55.7522652,37.5952384,Шемрок
55.7651193,37.6023592,Crafter
55.8183558,37.5739085,Сварня
55.7112947,37.6122014,Ресторанчик Фрау Шнапсбир
55.3825082,37.5387062,Разливное пиво
55.7628878,37.6348296,Lion's Head Pub
55.9405108,37.503025,Garage
55.7835022,37.7212807,Кружка
55.7648392,37.6080731,White Eagles
55.73075,37.6635,Кружка
55.7696195,37.5820613,Раковая на Тишинке
55.805485,37.6354963,Джонни Грин Паб
55.817985,37.630228,Пивной бар
55.7647441,37.6085774,Harat's
55.7539873,37.7100426,Tom pub
55.6575318,37.5428396,Темпл Бар
55.792746,37.5925363,Золотая вобла
55.680897,37.5566997,Конор Мак Несса
55.5471495,37.5532343,Кружка
55.7504261,37.9918294,Сити Бир
55.78275,37.7051252,Rolling Barrels
55.7522414,37.596793,Жигули
55.7523268,37.5971319,Пайс паб
55.76504,37.6082931,Craft Station
55.7648086,37.7011374,Pub Daddy
55.790015,37.6338146,Крылышко или ножка
55.8649133,37.6055916,Кружка
55.7650604,37.6085225,Beermarket
55.7568857,37.7078788,Норвич
55.6302,37.5150501,Кружка
55.7400235,37.6160344,Вильям Басс
56.0104312,37.8625504,
55.8714681,37.0988327,шашлычная
55.7599566,37.6315631,Dark Patrick's
55.7405062,37.6171741,Рэд Код
55.7468716,37.679516,Бостон
55.7852049,37.521943,Виктория&Альберт
55.781581,37.7078462,СПБ
55.8496787,37.4223558,BierЛога
55.762857,37.5574817,Хлеб и вино
55.3754209,37.5396019,Житнёв
55.815517,37.3528498,The Firm
55.748075,37.7751325,Пенная галерея - Рабочий класс
55.7604851,37.646461,Beer Mood
55.7608154,37.6461126,ГлавПивМаг
55.9969665,37.8620653,Пинта
55.7417911,37.6164952,Sally O'Brien's
55.6472185,37.7155336,Разливное пиво
55.7778854,37.6067805,Лига Пап
55.7691323,37.6693,Molly Malone's
55.88526,37.6056083,Кладовая солнца
55.7502596,37.5936091,Doolin House
55.6650808,37.4718911,One More Pub
